258397911312920578,RT @SkyDigg4: Is the First Lady and mrs. Romney wearing the same dress?,101,0,0
258371150181199872,"RT @finneyk: Romney doesn't trust women to make the most basic personal decisions about our own lives, so why should we trust him? #Mitt ...",101,,-1
258438630538874880,"RT @Xx_ThatGirlKash: If Romney Wins, POOF! There Go The Car. POOF! There Go The Crib. POOF! A Hunnit Mill....Back To The Cotton Fields!",101,,-1
258374356181319681,"RT @TruthTeam2012: FACT: If the Romney-Ryan budget cuts were applied across the board, they'd cut Pell Grant scholarships for nearly 10  ...",101,,-1
258421920117178368,"RT @iSingAyBe: Obama got too many #supporters. If he lose, something ain't right.",101,1,
258371207248896001,RT @chrisrockoz: CNN: Reports that Obama will end the debate by holding up Bin Laden's head w/ his birth certificate in Bin Laden's mout ...,101,1,
258408669773967360,"RT @DRUDGE_REPORT: FOURNIER: Obama Tries, But Only Ties... http://t.co/2NbbeiLz",101,-1,
258395185430556672,RT @BizNasty2point0: Putting heart rate monitors on Obama and Romney during the debate and posting it on the TV screen would be a good w ...,101,0,0
258439332350787585,"RT @JimPethokoukis: Romney answered the Bush question,  outlined his plans,  mercilessly pounded on the Obama econ record. Very effective",101,-1,1
258395201951920128,"RT @MiaFarrow: Mitt looks &amp; sounds desperate #floundering #debate",101,,-1
258416283899555840,"RT @JedediahBila: MT @JanCBS: CBS News instant poll, undecideds gave Romney edge on economy: 65% thought Romney would do a better job; 3 ...",101,,-1
258336513346138112,RT @donnabrazile: I found a site with all the details on Mitt Romney's $5 trillion tax plan. It's as simple as clicking a button. http:/ ...,101,,-1
258465359001157632,RT @TheObamaDiary: Ann Romney ecstatic after tonight's #debate #Obama2012 http://t.co/LzOPk88V,101,,1
258428581980545024,"RT @jamesbmiller: @IngrahamAngle CNNpoll- 58-40% Romney better on the economy 49-46% on healthcare, 51- 44% on taxes, &amp; 59-36% on de ...",101,,1
258337544410910720,RT @fredthompson: Restaurant to cut worker hours to avoid Obamacare expenses. Obama said if you like your ins you can keep it. Didn't me ...,101,1,
258428891629248512,"RT @DavidLimbaugh: Think about Obama's lies on oil production and AZ imm law, his own job creation record. Fact correction is going to r ...",101,-1,
258409324416729089,"RT @HeathMayo: No matter how much Obama talks, 23 million Americans will still go to bed tonight without a job. #debate",101,-1,
,"""RT @TheDailyEdge: Romney: \""We are all children of the same God. And girls are worth 77% of boys\"" #equality #fairpay #debate"",101,258428962622033920",,,-1
258429262011449344,RT @FreeBeacon: TRENDING WORLDWIDE on Twitter: Romney Was Actually Right On Libya http://t.co/AQlTrJJI,101,,1
261608183225786368,"RT @EvaLongoria: RT @TheNewDeal: 7.7 Million People Voted Early &amp; Obama is Leading by Double Digits in Early Voting in OH, NC, &amp; IA.",101,1,
258441231837835264,"RT @RealAlexJones: Obama looks totally burnt out, Romney is a happy vampire. http://t.co/eqCPvgBX",101,-1,0
,"""RT @IngrahamAngle: 23 million Americans will wake up this morning, after what Obama's spin-meisters call a debate \""win,\"" still w/out wor ..."",101,258429422175150080",,-1,
258417230616858624,RT @KRMullins1964: ABC and Fox News Fact Check Obama:  Oil &amp; Gas Drilling Permits ARE Down 60% Under Obama. #debates #tcot,101,-1,
258429914318004224,RT @LEBassett: The # of women in top appointed positions actually declined to 27.6 percent during Romney's tenure as governor http://t.c ...,101,,-1
